GLOSS	NUMBER
monsoon	1407
now	1408
shortly	1409
now, at present	1410
formerly	1411
before (place)	1412
before (time)	1413
formerly	1414
later	1415
a moment ago	1416
a moment	1417
yesterday	1418
the day before yesterday	1419
today	1420
this morning	1421
tomorrow	1422
the day after tomorrow	1423
morning	1424
evening	1425
now and then, occasionally	1426
when	1427
already	1428
not yet	1429
not again	1430
north	1431
south	1432
east	1433
west	1434
left	1435
right	1436
up, upper, above	1437
on the road	1438
from above	1439
under	1440
from underneath	1441
from-to (place)	1442
from-to (time)	1443
below, beneath	1444
at	1445
from	1446
until	1447
at, in	1448
on	1449
in, inside	1450
out, outside	1451
nearby	1452
far	1453
around, surrounding	1454
outside	1455
to go outside	1456
inside, within	1457
to go inside	1458
many	1459
where	1460
how	1461
like this, like that	1462
like this	1463
like that	1464
why	1465
certainly, sure	1466
maybe	1467
very	1468
and	1469
with	1470
no	1471
yes	1472
not, no	1473
not, no	1474
not, no	1475
yes, right, indeed	1476
only	1477
almost	1478
but	1479
however, nevertheless	1480
however, nevertheless	1481
yet, still	1482
if	1483
although	1484
because	1485
no, not a, none	1486
