GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	CHECKED
aunt <unsp.>	291	2682	AUNT OR UNCLE	4	
aunt <unsp.>	291	1272	AUNT	4	
#>>>					
nephew BoS	292		???		
nephew ByS	293		???		
nephew ZoS	294		???		
nephew ZyS	295		???		
niece BoD	296		???		
niece ByD	297		???		
niece ZoD	298		???		
niece ZyD	299		???		
cousin FB/FZS MB/MZS	300		???		
cousin FB/FZD MB/MZD	301		???		
parents-in-law	302	306	PARENTS-IN-LAW	2	
respective parents of the married couple	303		???		
son-in-law	304	1056	SON-IN-LAW	2	
daughter-in-law	305	1057	DAUGHTER-IN-LAW	2	
#<<<					
son or daughter-in-law	306	2265	DAUGHTER-IN-LAW (OF MAN)	4	
son or daughter-in-law	306	2264	DAUGHTER-IN-LAW (OF WOMAN)	4	
son or daughter-in-law	306	1057	DAUGHTER-IN-LAW	4	
son or daughter-in-law	306	3779	SON (OF MALE EGO)	4	
son or daughter-in-law	306	2391	BOY OR SON	4	
son or daughter-in-law	306	1620	SON	4	
#>>>					
stepson	307	1059	STEPSON	2	
stepdaughter	308	1058	STEPDAUGHTER	2	
stepparents	309		???		
adopted child	310		???		
brother-in-law WB	311		???		
brother-in-law HB	312		???		
brother-in-law WZH	313		???		
brother-in-law HZH	314		???		
brother-in-law	315	2314	BROTHER-IN-LAW	2	
sister-in-law HZ	316		???		
sister-in-law WZ	317		???		
sister-in-law HBW	318		???		
sister-in-law WBW	319		???		
related	320		???		
unrelated	321		???		
husband	322	1200	HUSBAND	2	
wife	323	1199	WIFE	2	
friend	324	1325	FRIEND	2	
comrade, friend	325	1325	FRIEND	4	
#<<<					
comrade, mate	326	3978	COMPANION	4	
comrade, mate	326	549	COPULATE	4	
#>>>					
friend (female)	327	1325	FRIEND	4	
guest	328	1782	GUEST	2	
#<<<					
guest, stranger	329	791	STRANGER	4	
guest, stranger	329	2908	GUEST OR STRANGER	4	
guest, stranger	329	1782	GUEST	4	
#>>>					
village	330	930	VILLAGE	2	
country	331	1300	COUNTRY	2	
#<<<					
town (capital)	332	3609	TOWN OR VILLAGE	4	
town (capital)	332	1391	TOWN	4	
town (capital)	332	930	VILLAGE	4	
#>>>					
main village	333		???		
hamlet	334		???		
#<<<					
people (tribe)	335	2661	PEOPLE OR PERSON	4	
people (tribe)	335	302	CLAN	4	
people (tribe)	335	789	PEOPLE	4	
people (tribe)	335	3612	INDIGENOUS PEOPLES OF THE AMERICAS	4	
people (tribe)	335	1645	SHORT	4	
#>>>					
sorcerer	336	823	SORCERER	2	
talisman	337		???		
incantation	338		???		
magic wand	339		???		
magic book	340		???		
sacred, magic writings	341	1702	HOLY	4	
#<<<					
idol	342	1945	IDOL	2	
idol	342	3205	GRAVEN IMAGE	2	
#>>>					
omen	343	107	OMEN	2	
#<<<					
ghost	344	1175	GHOST	2	
ghost	344	53	SPIRIT	2	
#>>>					
#<<<					
spirit	345	811	SOUL	2	
spirit	345	53	SPIRIT	2	
spirit	345	3231	DEITY	2	
#>>>					
evil spirit	346	1973	DEMON	2	
vampire (witch, werewolf)	347		???		
soul, spirit	348	811	SOUL	2	
#<<<					
soul, ghost	349	53	SPIRIT	4	
soul, ghost	349	1944	GOD	4	
soul, ghost	349	1175	GHOST	4	
soul, ghost	349	811	SOUL	4	
#>>>					
the supreme being	350		???		
religion	351	661	RELIGION	2	
to worship	352	257	WORSHIP	1	
vital spirit, vitality	353		???		
#<<<					
god	354	3231	DEITY	2	
god	354	1944	GOD	2	
#>>>					
statue representing an ancestor/ancestors	355	1669	ANCESTORS	4	
writing	356		???		
letter	357	1612	LETTER	2	
paper	358	648	PAPER	2	
letter	359	1612	LETTER	2	
book	360	963	BOOK	2	
story	361	2060	STORY	2	
history, legend	362		???		
poem	363		???		
tune, melody	364	2968	REASON	4	
#<<<					
heaven	365	1732	SKY	2	
heaven	365	1565	HEAVEN	2	
#>>>					
hell	366	878	HELL	2	
underworld	367		???		
underworld	368		???		
the upper world	369		???		
population	370		???		
the afterlife	371		???		
virtue	372		???		
sin	373	2971	SIN	2	
forbidden	374		???		
forbidden, taboo	375		???		
priest	376	852	PRIEST	2	
priestess	377		???		
shaman	378	394	SHAMAN (FOLK HEALER)	2	
#<<<					
temple	379	911	TEMPLE	2	
temple	379	1604	TEMPLES	2	
#>>>					
holy place	380		???		
settlement	381	1391	TOWN	4	
town hall	382		???		
king	383	1508	KING	2	
a sort of first minister	384		???		
mantri	385		???		
guard	386	1940	GUARD	2	
#<<<					
(sacred) place (held In awe)	387	998	PUT	4	
(sacred) place (held In awe)	387	2248	KNOW (SOMEBODY)	4	
(sacred) place (held In awe)	387	850	SQUARE	4	
(sacred) place (held In awe)	387	1237	WHERE	4	
(sacred) place (held In awe)	387	723	PLACE (POSITION)	4	
#>>>					
village hall	388		???		
men's house	389	408	MEN'S HOUSE	2	
women's house	390		???		
village head	391		???		
chieftain	392	301	CHIEFTAIN	2	
nobleman	393	482	NOBLE	4	
village elders	394		???		
warrior	395	3608	WARRIOR	2	
happiness	396	2941	HAPPINESS	2	
unhappiness	397		???		
free man	398	384	FREEMAN	2	
slave	399	812	SLAVE	2	
custom	400	1747	CUSTOM	2	
common law	401		???		
criminal	402	3875	CRIMINAL	2	
to judge	403	1818	ADJUDICATE	3	
to punish	404	3649	PUNISH	1	
#<<<					
fine	405	218	FINE (PENALTY)	2	
fine	405	2157	FINE OR THIN	2	
#>>>					
witness	406	1144	WITNESS	2	
#<<<					
judge	407	1818	ADJUDICATE	2	
judge	407	861	JUDGE	2	
#>>>					
credit bondsman	408		???		
funeral ceremony	409		???		
to circumcise	410		???		
filing of the teeth	411		???		
#<<<					
to marry, to take a wife, marriage	412	203	MARRY	3	
to marry, to take a wife, marriage	412	2164	MARRY (AS MAN)	3	
to marry, to take a wife, marriage	412	2163	MARRY (AS WOMAN)	3	
#>>>					
#<<<					
to marry, to take a husband, marriage	413	203	MARRY	3	
to marry, to take a husband, marriage	413	2164	MARRY (AS MAN)	3	
to marry, to take a husband, marriage	413	2163	MARRY (AS WOMAN)	3	
#>>>					
to give in marriage	414		???		
